recording_id,source_id,azimuth,vertical_elevation,horizontal_elevation
80,16,55,30,0
80,21,230,-30,0
80,60,160,-30,0
80,69,345,0,0
80,107,220,30,0
80,111,34,0,0
81,4,290,30,0
81,36,85,0,0
81,39,240,0,0
81,56,345,30,0
81,79,125,-30,0
81,87,201,-30,0
81,123,170,30,0
82,7,112,0,0
82,11,30,30,0
82,50,95,-30,0
82,78,0,-30,0
82,80,201,-30,0
82,85,315,0,0
82,122,325,30,0
83,2,95,-30,0
83,6,295,30,0
83,13,115,0,0
83,24,280,0,0
83,76,20,30,0
83,80,200,0,0
83,97,35,-30,0
84,5,148,0,0
84,37,220,30,0
84,41,50,30,0
84,59,270,0,0
84,94,180,-30,0
84,104,237,-29,0
84,115,343,0,0
85,2,145,0,0
85,23,343,0,0
85,27,245,30,0
85,62,225,-30,0
85,72,80,0,0
85,84,270,-30,0
85,85,123,-29,0
85,103,15,30,0
86,5,215,30,0
86,21,155,30,0
86,45,285,30,0
86,52,245,0,0
86,57,0,-30,0
86,61,130,0,0
86,71,85,-30,0
86,83,15,-30,0
87,8,10,30,0
87,17,345,30,0
87,30,115,0,0
87,60,270,30,0
87,82,145,-30,0
87,100,225,0,0
87,112,210,-30,0
87,120,75,-30,0
88,23,325,0,0
88,29,34,0,0
88,52,165,30,0
88,63,195,30,0
88,67,250,-30,0
88,86,110,0,0
88,93,45,-30,0
88,102,315,30,0
89,29,240,30,0
89,39,345,-30,0
89,54,21,-30,0
89,56,145,0,0
89,62,85,0,0
89,70,290,-30,0
89,84,202,0,0
89,87,10,30,0
89,90,125,30,0
90,21,75,0,0
90,57,291,-30,0
90,63,140,0,0
90,74,15,-30,0
90,79,215,30,0
90,86,5,30,0
90,89,235,0,0
90,97,130,30,0
90,109,345,-30,0
91,34,0,0,0
91,36,285,0,0
91,47,135,-30,0
91,52,210,30,0
91,66,150,30,0
91,84,75,30,0
91,87,15,0,0
91,93,0,-30,0
91,105,225,-30,0
92,7,313,2,0
92,13,255,-30,0
92,16,45,30,0
92,26,165,-30,0
92,50,270,30,0
92,68,200,30,0
92,80,325,-30,0
92,94,145,0,0
92,109,75,0,0
93,2,120,-30,0
93,18,240,30,0
93,21,291,0,0
93,34,175,-30,0
93,47,105,0,0
93,64,345,0,0
93,66,21,30,0
93,82,32,0,0
93,107,275,30,0
93,123,213,-29,0
94,1,115,-30,0
94,41,205,30,0
94,48,300,-30,0
94,64,105,0,0
94,70,21,30,0
94,83,227,-2,0
94,98,345,0,0
94,104,32,0,0
94,118,175,-30,0
94,122,290,30,0
95,32,55,0,0
95,39,155,0,0
95,53,245,30,0
95,59,10,30,0
95,62,135,-30,0
